email,name,global_admin,_timezone,receive_marketing,external_id,Skills
scott.baker@ux.io,Scott Baker,f,PST,f,s7754756893610,"Dancing, Prancing"
cathy.carey@ux.io,Cathy Carey,f,PST,f,c3033236182949,Chancing
lynn.yates@ux.io,Lynn Yates,f,PST,f,d6331979415484,Prancing
james.garner@ux.io,James Garner,f,PST,f,i0454336218367,"Clapping, Chancing"
lauren.crawford@ux.io,Lauren Crawford,f,PST,f,i2502809511306,Cheese
stephanie.griffin@ux.io,Stephanie Griffin,f,PST,f,i6945849259283,Cheering
sarah.nguyen@ux.io,Sarah Nguyen,f,PST,f,s6402526534077,"Clapping, Hype"
colton.bradley@ux.io,Colton Bradley,f,CST,f,i2426527213174,Tripe
linda.gaines@ux.io,Linda Gaines,f,EST,f,d3797232121388,"Hype, Tripe"
margaret.stephens@ext.ux.net,Margaret Stephens,T,GMT,f,c0258490649138,Prancing
nichole.flynn@ext.ux.net,Nichole Flynn,f,EST,f,d4770892023012,Salsa
kevin.khan@ext.ux.net,Kevin Khan,f,EST,f,d1126299089691,"Clapping, Tripe"
,William Wilson,f,CST,f,s3572691966993,Hype
phillip.weeks@ext.ux.net,Phillip Weeks,f,CST,f,c9077358593038,Prancing
monica.becker@ext.ux.net,Monica Becker,f,CST,f,c4321268196015,"Clapping, Flamenco"
amanda.jacobs@ext.ux.net,Amanda Jacobs,f,EST,f,c2502973285544,Clapping
isaac.rollins@ext.ux.net,Isaac Rollins,f,GMT,f,c0426114770511,"Hype, Flamenco"
thomas.livingston@ext.ux.net,Thomas Livingston,f,CST,f,d0651260236513,Flamenco
megan.russell@ext.ux.net,Megan Russell,f,GMT,f,s6907531641129,Cha-Cha-Cha
william.wade@ext.ux.net,William Wade,f,GMT,f,c8458861091488,Prancing
shelly.powell@ext.ux.net,Shelly Powell,f,EST,f,s6249101375190,
kyle.wallace@ext.ux.net,Kyle Wallace,f,EST,f,d4176473990588,"Clapping, Flamenco"
matthew.sellers@ext.ux.net,Matthew Sellers,f,CST,f,i1671528771812,
nancy.stanton@ext.ux.net,Nancy Stanton,f,GMT,f,c9296539561483,
elijah.stevens@ext.ux.net,Elijah Stevens,f,EST,f,c4156561182186,"Hype, Cha-Cha-Cha"
monica.green@ext.ux.net,Monica Green,f,CST,f,i1562393077919,
scott.williams@ext.ux.net,Scott Williams,f,CST,f,c2316680925512,"Prancing, Hype"
angela.ali@ext.ux.net,Angela Ali,f,CST,f,c9621325958573,"Prancing, Flamenco"
alex+123@alexpate.uk,Alex,f,EST,f,,Hype
brian.beck@ext.ux.net,Brian Beck,f,EST,f,d8234539005480,
alex+2@alexpate.uk,Alex,f,EST,f,,"Prancing, Hype"
bob.johnson@ux.io,Bob Johnson,T,EST,f,i7296198887214,"Clapping, Hype, Bob Johnson, Hype"
